date,agency,subject,message
11/6/22 6:43 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we request NYPD assistance with a person being disruptive at Times Sq-42 St.
11/6/22 6:24 PM,NYC,"Update: MANH, 2 and 3 Trains, Delays",Northbound 2/3 trains are running with delays after we requested NYPD assistance with a person being disruptive at Times Sq-42 St.
11/6/22 6:23 PM,NYC,"Update: MANH, F Train, Delays",Southbound F trains are running with delays after we requested EMS assistance for a person in need at 14 St.
11/6/22 6:23 PM,NYC,"MANH, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we request NYPD assistance with a person being disruptive at Times Sq-42 St.
11/6/22 6:22 PM,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while we request EMS assistance for a person in need at 14 St.
11/6/22 6:09 PM,NYC,"Update: 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays and have resumed making regular stops in Manhattan. What's Happening? We are conducting planned structural maintenance in Manhattan.
11/6/22 6:06 PM,NYC,"Update: QNS, E, F, and R Trains, Delays",Northbound E/F/R trains are running with delays after we removed a train car in need of cleaning from service at Jackson Hts-Roosevelt Av.
11/6/22 6:01 PM,NYC,"QNS, E, F, and R Trains, Delays",Northbound E/F/R trains are delayed while we remove a train car in need of cleaning from service at Jackson Hts-Roosevelt Av.
11/6/22 5:58 PM,NYC,"QNS, A Train, Slow Speeds",Northbound A trains are running at slower speeds while we address a signal problem near 88 St.
11/6/22 5:54 PM,NYC,"Update: MANH, 1 Train, Delays",Northbound 1 trains are running with delays after we requested EMS assistance for a person in need at 86 St.
11/6/22 5:50 PM,NYC,"MANH, 7 Train, Delays",34 St-Hudson Yards-bound 7 trains are running with delays after we addressed a door problem on a train at Times Sq-42 St.
11/6/22 5:50 PM,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we request EMS assistance for a person in need at 86 St.
11/6/22 5:04 PM,NYC,"MANH, 2 and 3 Trains, Express to Local",Southbound 2/3 trains are running on the local track from 72 St to 34 St-Penn Station. What's Happening? We are conducting planned structural maintenance in Manhattan.
11/6/22 4:26 PM,NYC,"Update: BKLYN, C Train, Delays",Northbound C trains are running with delays after EMS assisted a person in need and we removed a train from service at Shepherd Av.
